Bronx-77-025,Grenadier Realty Apartments,1610 Sedgwick Ave,Bronx,NY,10453
79-053,777 Concourse Village East,777 Concourse Village East,Bronx,NY,10451
79-054,777 Concourse Village East,777 Concourse Village East,Bronx,NY,10451
79-055,777 Concourse Village East,777 Concourse Village East,Bronx,NY,10451
79-064,777 Concourse Village East,777 Concourse Village East,Bronx,NY,10451
79-071,777 Concourse Village East,777 Concourse Village East,Bronx,NY,10451
79-079,777 Concourse Village East,777 Concourse Village East,Bronx,NY,10451
82-016,PS 72,2951 Dewey Avenue,Bronx,NY,10465
82-017,PS 72,2951 Dewey Avenue,Bronx,NY,10465
82-041,Providence Rest,3304 Waterbury Ave,Bronx,NY,10465
83-079,PS 68 Bronx,4011 Monticello Avenue,Bronx,NY,10466
83-083,PS 68 Bronx,4011 Monticello Avenue,Bronx,NY,10466
41-046,PS 194,3117 Avenue W,Brooklyn,NY,11229
41-063,PS 194,3117 Avenue W,Brooklyn,NY,11229
41-064,PS 194,3117 Avenue W,Brooklyn,NY,11229
41-066,PS 194,3117 Avenue W,Brooklyn,NY,11229
42-057,VANDERVEER UNITED METHODIST CHURCH,3114 Glenwood Road,Brooklyn,NY,11210
42-067,MERKAZ COMMUNITY CENTER,1739 Ocean Avenue,Brooklyn,NY,11230
42-074,PS 269,1957 Nostrand Avenue,Brooklyn,NY,11210
43-036,MEDGAR EVERS,1150 CARROLL STREET,brooklyn,NY,11225
43-037,MEDGAR EVERS,1150 CARROLL STREET,brooklyn,NY,11225
43-077,PS 161,330 CROWN STREET,brooklyn,NY,11225
43-078,LENOX ROAD BAPTIST CHURCH,1356 NOSTRAND AVE,brooklyn,NY,11226
43-079,Dr. Susan McKinney,594 Albany Avenue,Brooklyn,NY,11203
44-005,PS 179,202 AVENUE C,Brooklyn,NY,11218
44-006,PS 179,202 AVENUE C,Brooklyn,NY,11218
44-007,PS 179,202 AVENUE C,Brooklyn,NY,11218
44-008,PS 179,202 AVENUE C,Brooklyn,NY,11218
44-019,PS 179,202 AVENUE C,Brooklyn,NY,11218
44-020,PS 179,202 AVENUE C,Brooklyn,NY,11218
44-048,PS 249,18 MARLBOROUGH ROAD,Brooklyn,NY,11226
44-054,PS 130,70 Ocean Parkway,Brooklyn,NY,11218
44-055,PS 130,70 Ocean Parkway,Brooklyn,NY,11218
44-056,Bishop Ford HS,500 19th Street,Brooklyn,NY,11215
44-068,Park Slope YMCA,361 15th Street,Brooklyn,NY,11215
44-069,Park Slope YMCA,361 15th Street,Brooklyn,NY,11215
44-070,Park Slope YMCA,361 15th Street,Brooklyn,NY,11215
43-075,FENIMORE UNITED METHODIST CHURCH,276 Fenimore Street,Brooklyn,NY,11225
43-076,IS 391,790 East New York Avenue,Brooklyn,NY,11203
44-085,PS 131,4305 Ft Hamilton Parkway,Brooklyn,NY,11219
44-086,Brooklyn Prospect Charter School,3002 Ft Hamilton Parkway,Brooklyn,NY,11218
44-087,PS 217,.1100 NEWKIRK AVENUE,Brooklyn,NY,11230
46-023,TRUMP VILLAGE BLDG 5.,2925 WEST 5TH STREET,,NY,11224
46-029,Warbasse Bldg 1C,2820 Ocean Parkway,Brooklyn,NY,11224
46-034,PS 264,415 89th St,Brooklyn,NY,11209
46-048,PS 127,7805 7TH AVENUE,Brooklyn,NY,11228
46-062,Shore Hill Housing,9000 Shore Road,Brooklyn,NY,11209
46-078,PS 185,8601 Ridge Boulevard,Brooklyn,NY,11209
46-079,PS 201 JHS,8010 12 Avenue,Brooklyn,NY,11228
47-063,PS 128,2075 84 Street,Brooklyn,NY,11214
47-064,PS 128,2075 84 Street,Brooklyn,NY,11214
47-065,PS 128,2075 84 Street,Brooklyn,NY,11214
47-069,PS 682,50 Avenue P,Brooklyn,NY,11204
47-070,Regina Pacis,2424 Cropsey Avenue,Brooklyn,NY,11214
48-056,MERKAZ COMMUNITY CENTER,1739 OCEAN AVENUE,Brooklyn,NY,11230
48-070,MERKAZ COMMUNITY CENTER,1739 OCEAN AVENUE,Brooklyn,NY,11230
48-071,PS 223 IS,4200 16 Avenue,Brooklyn,NY,11204
49-066,ST. AGATHA,736 48 STREET,Brooklyn,NY,11220
49-067,OUR LADY OF PERPETUAL HELP,552 59 STREET,Brooklyn,NY,11220
50-012,ST. CECILIA,24 N. HENRY STREET,Brooklyn,NY,11222
50-013,SCIENCE SKILLS CTR HS,49 FLATBRUSH AVE EXTENSION,Brooklyn,NY,11201
50-014,INGERSOLL COMMUNITY CENTER,177 MYRTLE AVE,Brooklyn,NY,11201
50-016,COOPER CENTER,76 KINGSLAND AVENUE,Brooklyn,NY,11211
50-017,COOPER CENTER,76 KINGSLAND AVENUE,Brooklyn,NY,11211
50-020,ST. FRANCIS CHURCH HALL,200 Woodpoint Road,Brooklyn,NY,11211
50-021,ST. FRANCIS CHURCH HALL,200 Woodpoint Road,Brooklyn,NY,11211
50-030,MCGUINESS SENIOR CENTER,715 Leonard Street,Brooklyn,NY,11222
50-031,MCGUINESS SENIOR CENTER,715 Leonard Street,Brooklyn,NY,11222
50-032,MCGUINESS SENIOR CENTER,715 Leonard Street,Brooklyn,NY,11222
50-033,ST. CECILIA,24 N. Henry Street,Brooklyn,NY,11222
50-093,INGERSOLL COMMUNITY CENTER,177 Myrtle Avenue,Brooklyn,NY,11201
50-094,INGERSOLL COMMUNITY CENTER,177 Myrtle Avenue,Brooklyn,NY,11201
50-100,IS-71,215 Heyward Street,Brooklyn,NY,11206
51-001,PS 169,4305 7 Avenue,Brooklyn,NY,11232
51-009,PS 131,4305 FT HAMILTON PARKWAY,Brooklyn,NY,11219
51-010,SUNSET PARK HS,153 35 STREET,Brooklyn,NY,11232
51-036,MARIEN-HEIM OF SUNSET PARK,4520 4 AVENUE,Brooklyn,NY,11220
51-037,MARIEN-HEIM OF SUNSET PARK,4521 4 AVENUE,Brooklyn,NY,11220
51-038,MARIEN-HEIM OF SUNSET PARK,4522 4 AVENUE,Brooklyn,NY,11220
51-040,SUNSET PARK H. S,153 35 STREET,Brooklyn,NY,11232
51-041,O.B.T.,783 4TH AVENUE,Brooklyn,NY,11232
51-050,PS 1,309 47 STREET,Brooklyn,NY,11220
51-051,MARIEN-HEIM OF SUNSET PARK,4520 4TH AVENUE,Brooklyn,NY,11220
51-053,SUNSET PARK H. S.,153 35 STREET,Brooklyn,NY,11232
51-055,O.B.T.,783 4TH AVENUE,Brooklyn,NY,11232
51-056,PS 1,309 47 STREET,Brooklyn,NY,11232
51-079,MARIEN-HEIM OF SUNSET PARK,4520 4 AVENUE,Brooklyn,NY,11220
51-080,PS 220 JHS,4812 9 AVENUE,Brooklyn,NY,11220
51-081,SUNSET PARK HS,153 35 STREET,Brooklyn,NY,11232
52-003,URBAN ASSEMBLY SCH FOR LAW & JUSTICE,283 ADAMS ST,Brooklyn,NY,11201
52-023,URBAN ASSEMBLY SCH FOR LAW & JUSTICE,283 ADAMS ST,Brooklyn,NY,11201
